5	'Amazing story collection.  This is by far one of my favorite books.'
5	'I throughly enjoyed this trilogy and look forward to rereading it in a few years. Old age forgetfulness is a bitch. These books are the type that got me hooked on military  science fiction in the first place\n I highly recommend them not only for science fiction fanatics but for anyone who enjoys any type of fiction.'
5	'These stories are wonderful. I love both characters and their boyfriends, and the Mexican characters too. Love that they show up again, like old friends!'
5	'Bruce offered free copies of his book on one of the LinkedIn forums I subscribe to, so I downloaded it, not expecting a lot--thinking it\'d be the same sort of packaged business advice or self-help material that\'s so common on the Web. I was wrong. It\'s a great book, from someone who\'s dedicated to helping others be their best. (And you can tell he has a heart for that.)\n\nThe writing is down to earth, full of examples and personal stories. It\'s practical, with good advice that had me building to-do lists in my mind as I read chapters. And it\'s inspirational, because it leaves you wanting to be a better person and to help others. It leaves you wanting more, too. When I finished the 95 or so pages, some of which are illustrations, I felt like, "Where\'s the rest of it?"\n\nSo it\'s definitely worth reading. If you\'re on LinkedIn or Google+ or Facebook or some other social media and you wonder why your results are so small when compared to the huge amount of time you\'ve invested, you may well find your answer here.'
1	"This bio is not even worth a star!  Worst $2.99 I've ever spent.  A 6th grade book report would be worth the $2.99 I spent and the time I spent reading this crap!!  SO..... NOT WORTH WASTING YOUR TIME & MONEY ON!!!"
5	"It's not very often that friends can put the strain shown in this book on your friendship and not expect that friendship to break but maybe with a lot of hard work and the ability to forgive you are able to put the pieces back together."
5	"Wow this was another great book I can't wait for more I hope it's really soon .....It was funny and exciting to find out if they finally got together and they did ..."
5	"I got it hesitantly as a sample first. I got hooked and I really loved it. I could not stop reading it and ended up not sleeping much, I had to finish it!\nGreat romance, very hot sexy times, adventure ... some rough moments, it makes it believable. The book is great fun, highly recommended\nI can't wait to read another one :-)"
5	'Very insitefull on how casinos work.'
5	'great book by the lesser known bronte sister, its still a really good read and quite profound and moving'
3	'Good read'
4	"It's one of those books that you know the ending before you even start reading the book.  It's more about what's in the middle.  I liked this book.  Predictable, yes but still a fun read!"
5	"Excellent read, I didn't want to put it down!"
